commit	kind	thread	val_bpb	delta_vs_best	memory_gb	status	hypothesis	expected_result	interpretation	agrees_with_hypothesis	next_hypothesis	description
153211f	baseline	simple-backbone	0.964088	0.000000	29.9	keep	Removing unproven value paths and logit softcap gives a clean MoE backbone for rebuilding	Stable finite BPB, learned QK gamma moves, and router remains non-collapsed enough to use as the new phase baseline	The stripped model is stable and fast but much worse than the old feature-rich stack; this is now the phase baseline, and AdamW peak 0.01 looks too aggressive or poorly matched to the stripped setup	partial	Sweep AdamW peak LR on the {1,3}*10^n grid while keeping architecture fixed	remove value embeddings/value residuals and logit softcap; use fan-in truncated init, learned QK gamma, shared AdamW schedule, and shape-aware Muon LR tied to AdamW
02ba694	lr	simple-backbone	0.954881	-0.009207	29.9	keep	AdamW peak 0.01 is too aggressive for the stripped backbone and fan-in init	Lower matched-step train loss, cleaner router load, and better BPB without throughput or memory cost	The lower LR improved BPB by 0.009207, reduced train CE to 2.591596, and improved load diagnostics; matched-step behavior also clearly favored 0.003 over 0.01	yes	Test the next lower log-grid LR point 0.001 before adding architecture back	change only ADAMW_LR from 0.01 to 0.003, with Muon peaks still shape-aware and tied to AdamW
d89e5f0	lr	simple-backbone	1.030709	0.075828	29.9	discard	AdamW peak 0.003 may still be too sharp, and cleaner routing at 0.001 might improve BPB	Some CE slowdown but possible validation improvement from much cleaner routing	The router became very clean, but train CE stayed far too high and BPB collapsed; in this range learning progress matters more than additional average load uniformity	no	Restore 0.003 as the LR baseline and start adding architectural components back	change only ADAMW_LR from 0.003 to 0.001, with Muon peaks still shape-aware and tied to AdamW
7392e4d	architecture	value-residual	0.000000	0.000000	0.0	discard	Scalar first-value residual might restore useful attention value memory	Alpha should move from zero and matched-step CE/router diagnostics should improve	Aborted before validation; gradient diagnostics showed alpha grew large but first-value residual gradient stayed tiny while router load concentration worsened	no	Do not retry uncapped scalar value residual; only revisit with router-protected/capped/detached variants	add zero-init learned scalar first-value residual to later attention layers
523dc00	architecture	fine-grained-moe	0.000000	0.000000	0.0	discard	Finer experts at fixed active and total expert width may improve expert-combination richness	Matched active/total params with better BPB or at least better matched-step CE despite possible speed cost	Aborted at step 727; matched-step loss was about 0.049 worse than baseline and throughput was lower despite cleaner load diagnostics	no	Restore 16/top-2/1792; do not go finer now	test 32 experts top-4 hidden-896 with active and total expert width fixed
e1f81c1	router	sigmoid-affinity	0.954935	0.000054	29.9	tentative	Sigmoid affinities may reduce unhelpful global softmax competition while preserving hard top-k routes	Equal or lower BPB with healthy load and no sigmoid saturation	Final BPB was effectively tied but slightly worse; early CE improved, average load was cleaner, z-loss and low-affinity saturation rose, and final train CE worsened	partial	Test loss-free expert bias once; if it fails, revert to softmax router	change router output weights and load-balance score mass from softmax to normalized selected sigmoid affinities
ec33c7d	architecture	value-mix	0.947597	-0.007284	29.9	keep	A fixed damped first-value mix may recover useful attention value memory without learned scalar instability	Better BPB than simple baseline with healthier routing than learned value mix	Fixed 0.5/0.5 improved BPB substantially and kept routing much cleaner than learned value mix; this proves the useful mechanism is not just learned scalar adaptation	yes	Try first-heavy fixed ratio at same L1 scale	fixed value mix v=0.5*v1+0.5*vl on layers 1-7
188138f	architecture	value-mix	0.945791	-0.001806	29.9	keep	A first-heavy fixed mix may use early value memory more effectively than equal mixing	Lower BPB than fixed 0.5/0.5, accepting moderate load concentration only if BPB improves	Fixed 0.75/0.25 became the best value-only result; load concentration increased, but BPB improved clearly; larger raw scales and learned variants did not beat it	yes	Resume sigmoid expert-bias routing on this value-mix baseline	fixed value mix v=0.75*v1+0.25*vl on layers 1-7
af12d68	router	sigmoid-bias	0.943786	-0.002005	29.9	repair	Sigmoid affinities plus non-gradient expert bias may reduce harmful load-balance gradients while preserving hard-load control	Lower BPB than fixed value mix with no collapse and bias below clamp	BPB improved clearly, but one layer collapsed badly and router bias hit clamp; mechanism is promising but zero load-balance pressure is insufficient	partial	Add a single small load-balance repair at 0.003	sigmoid affinities, expert bias for top-k only, no load-balance loss, fixed 0.75/0.25 value mix
4a7630d	router	sigmoid-bias	0.942848	-0.000938	29.9	keep	Small load-balance pressure should repair zero-loss sigmoid-bias collapse without losing its BPB gain	Equal or better BPB than zero-load-loss sigmoid bias with much healthier max-layer load	The repair improved BPB and fixed load collapse; max-layer max load fell to 0.0746 and bias stayed far below clamp	yes	Run softmax-router low-LB control to isolate mechanism	sigmoid affinities, expert bias for top-k only, load-balance loss 0.003, fixed 0.75/0.25 value mix
4df82f2	router	control	0.947950	0.005102	29.9	discard	The sigmoid-bias gain might be mostly from lowering load-balance pressure to 0.003	Softmax router with the same 0.003 load loss should approach sigmoid-bias BPB if coefficient change is the key mechanism	Softmax low-LB collapsed into much worse load and worse BPB; the sigmoid-bias controller is doing real work	no	Keep sigmoid-bias; test whether it stabilizes normalized learned value mix	softmax router, load-balance loss 0.003, fixed 0.75/0.25 value mix
4567d1c	architecture	value-mix-router	0.947005	0.004157	30.2	discard	Sigmoid-bias may stabilize normalized learned value mix and allow learned ratio/scale to compound with router gains	Healthy load plus BPB at or below the fixed-mix sigmoid-bias baseline	Sigmoid-bias did stabilize normalized learned mix, reducing max-layer max load from 0.322 to 0.085, but BPB regressed far behind fixed 0.75/0.25 sigmoid-bias	partial	Restore fixed 0.75/0.25 sigmoid-bias baseline; search elsewhere for next gain	normalized learned value mix with gamma, sigmoid affinities, expert bias, load-balance loss 0.003
3038052	architecture	attention-xsa	0.940518	-0.002330	30.7	keep	Exclusive self attention may improve context modeling by removing the self-value direction from attention outputs while residual/FFN preserve pointwise information	Lower matched-step CE or validation BPB with no severe router damage	XSA improved BPB by 0.002330 over the prior best; matched-step loss was better at step 600, and router health remained acceptable though worst-layer load CV rose to 0.351	yes	Use XSA as baseline; try query-dependent headwise gated attention initialized near identity	exclusive self attention on current fixed 0.75/0.25 value mix plus sigmoid-bias plus load-balance 0.003 stack
5d210c5	architecture	attention-gate	0.940352	-0.000166	30.7	keep	Headwise post-SDPA sigmoid gate may compound with XSA by modulating contextual attention per query/head	Slight matched-step and BPB gain with no router damage	BPB improved by 0.000166 over XSA; matched-step loss was ahead from step 360 onward and final router load was much cleaner, though the margin is small	yes	Try gate init 0.98 to test whether less global attenuation improves the gain	headwise attention gate after XSA, init sigmoid 0.95, fixed 0.75/0.25 value mix, sigmoid-bias router lb0.003
48fa497	architecture	attention-gate	0.940076	-0.000276	30.7	keep	Headwise gate init 0.98 may preserve more attention amplitude than 0.95 while retaining query/head modulation	Equal or better BPB than 0.95 with healthy router load	Init 0.98 improved BPB by 0.000276 over 0.95 and 0.000442 over XSA; matched-step loss was roughly tied, and final gate bias stayed closer to identity at sigmoid 0.928	yes	Try init 0.99 once; if it regresses, keep 0.98 and move on	headwise attention gate after XSA, init sigmoid 0.98, fixed 0.75/0.25 value mix, sigmoid-bias router lb0.003
64fdc4a	architecture	attention-gate	0.940078	0.000002	30.7	discard	Headwise gate init 0.99 may preserve even more attention amplitude than 0.98	Equal or better BPB than 0.98 with healthy router load	Init 0.99 tied 0.98 but was fractionally worse by 0.000002 BPB; router health was very clean, but there is no reason to replace the 0.98 baseline	partial	Try centered 2*sigmoid gate initialized at exact identity	centered comparison not run here; this row is standard sigmoid headwise gate init 0.99
9c582bf	architecture	attention-gate	0.000000	0.000000	0.0	discard	Centered 2*sigmoid headwise gate initialized at exact identity may preserve modulation without large gate bias	Better matched-step CE than sigmoid gate, or equal CE with cleaner gate semantics	Aborted at step 600; early loss was much better through step 200, but by step 360 and 600 it was clearly behind the standard sigmoid gate while load was not collapsed	no	Restore sigmoid gate init 0.98 and move to dense early-layer MoE structure	centered 2*sigmoid headwise attention gate after XSA, init effective gate 1.0
cbbe61b	architecture	dense-early-layers	0.938510	-0.001566	30.0	keep	Dense first FFN layer may remove noisy early sparse routing while preserving upper-layer MoE specialization	Better BPB or similar BPB with faster throughput and cleaner routing	Dense first layer was behind early at matched steps, caught up late, improved BPB by 0.001566, raised MFU to 23.30, cut total params to 496M, and kept router load very clean	yes	Try first two dense layers at matched active width	first layer dense SwiGLU hidden 3584, upper 7 layers MoE, XSA, headwise gate init 0.98, sigmoid-bias router lb0.003
f48fb15	architecture	dense-early-layers	0.938179	-0.000331	29.3	keep	The first dense layer result suggests early sparse routing is costly, so making the first two FFN layers dense may further reduce early routing noise and improve throughput while leaving six sparse layers for specialization	Match or beat one-dense BPB, or remain close with higher throughput and lower total params	Two dense early layers improved fixed-wall BPB by 0.000331, reached 2778 steps and 728.2M tokens in 450s, cut total params to 438M, and kept routing very clean with mean load CV 0.0719 and max-layer max load 0.0737	yes	Try first three dense layers to find where dense-stem benefit saturates	first two layers dense SwiGLU hidden 3584, upper 6 layers MoE, XSA, headwise gate init 0.98, sigmoid-bias router lb0.003
143b860	diagnostic	dense-early-layers	0.939195	0.001016	29.3	support	The two-dense wall-time win may come mostly from getting 2778 updates while the no-dense attention-gate baseline got 2515 updates	At 2515 matched steps, two dense should fall back toward the no-dense 0.940076 BPB if the gain is only extra updates	Two dense still beat the no-dense baseline at matched steps by 0.000881 BPB, so the dense stem has real per-step value; the larger fixed-wall gain still partly comes from faster throughput and more updates	yes, with qualification	Keep two dense as baseline, stop dense-depth tuning, and use matched-step checks whenever speed changes	first two layers dense SwiGLU hidden 3584 stopped at AR_MAX_STEPS=2515 with the same 2390-step LR schedule
